ROUTEID,ROUTENAME,ROADTYPE,SUBBLOCKKEY,BIKELANE_PARKINGLANE_ADJACENT,BIKELANE_THROUGHLANE_ADJACENT,BIKELANE_POCKETLANE_ADJACENT,BIKELANE_CONTRAFLOW,BIKELANE_CONVENTIONAL,BIKELANE_DUAL_PROTECTED,BIKELANE_DUAL_BUFFERED,BIKELANE_PROTECTED,BIKELANE_BUFFERED,SUBBLOCKID,BLOCKID,BLOCKKEY,QUADRANT,STREETNAME,STREETTYPE,TOTALBIKELANES,TOTALBIKELANEWIDTH,WARD_ID,SMD_ID,ANC_ID,OBJECTID,SHAPELEN
12001502,15TH ST NE,1,a8661f4d484bd62054b5685402912dc1,IB,IB,,,IB,,,,,12001502-12001502_47082862-12001502_47044712,12001502-12001502_12019822-12001502_12026912,7808e12d5b8028293bcc566fda74854e,2,15TH,ST,1,5,6,6A05,6A,7994830,0
12001502,15TH ST NE,1,6b8db622b7281cbd11b629c89d8ebbe6,IB,IB,,,IB,,,,,12001502-12001502_47059712_47083442-12001502_12031132,12001502-12001502_12026912-12001502_12031132,3d560d18ac4fa274689cbcafd86e2b63,2,15TH,ST,1,5,6,6A05,6A,7994832,0
12001502,15TH ST NE,1,b87d9a4ebeba080141e6e827bc48c5ae,IB,IB,,,IB,,,,,12001502-12001502_12026912-12001502_47059712_47083442,12001502-12001502_12026912-12001502_12031132,3d560d18ac4fa274689cbcafd86e2b63,2,15TH,ST,1,5,6,6A05,6A,7994833,0
12001502,15TH ST NE,1,7377d023540f3c55f428763764d42756,IB,IB,,,IB,,,,,12001502-12001502_47072072-12001502_12034382,12001502-12001502_12031332-12001502_12034382,74e4d072d0fe316951e0bb44a4322cd3,2,15TH,ST,1,5,6,6A06,6A,7994834,0
12001502,15TH ST NE,1,4b916c8076fb7f803b5c98e55eda7819,IB,IB,,,IB,,,,,12001502-12001502_12031132-12001502_12048882,12001502-12001502_12031132-12001502_12048882,4b916c8076fb7f803b5c98e55eda7819,2,15TH,ST,1,5,6,6A05,6A,7994838,0
12001502,15TH ST NE,1,b1f006bd0f6b791d9e8ef8dcd2d4f4f2,IB,IB,,,IB,,,,,12001502-12001502_12085212-12001502_12038612_12039002,12001502-12001502_12085212-12001502_12038612_12039002,b1f006bd0f6b791d9e8ef8dcd2d4f4f2,2,15TH,ST,1,5,6,6A06,6A,7994839,0
12001502,15TH ST NE,1,551dac1a90598773912367cd9dde5a06,IB,IB,,,IB,,,,,12001502-12001502_12034382-12001502_47055952,12001502-12001502_12034382-12001502*1_12034382,f0032ec2c0611802c04b9a890e9fd1cb,2,15TH,ST,1,5,6,6A06,6A,7994844,0
12001802,18TH ST NE,1,646cbd98e8c0d2623532b7d095b95fb2,IB,IB,,,IB,,,,,12001802-12001802_12030222-12001802_47033092,12001802-12001802_12030222-12001802_12033932,534b884cef8356f663c7f36e42b79d34,2,18TH,ST,1,5,5,5C02,5C,7994972,0
12001802,18TH ST NE,1,1663fc68db6d37a63e4a0d7ba3583462,OB,OB,,,OB,,,,,12001802-12001802_58010802-12001802_58010802*1,12001802-12001802_12018722-12001802_12021972,f1f45411a7c407035065679e0bb5d8b2,2,18TH,ST,1,5,5,5C02,5C,7994973,0
12001802,18TH ST NE,1,9a5bfab1834f3b13043cbdcddcee3755,OB,OB,,,OB,,,,,12001802-12001802_58010252*1-12001802_12030222,12001802-12001802_12021972-12001802_12030222,21be3f9df1a5008618ca574afd38f87c,2,18TH,ST,1,5,5,5C02,5C,7994977,0
